ID_rest;Rest_name;Cuisine;Price;Tags;Adress
/msk/restaurant/259659/;Tutta la vita;Бары;700–1500 рублей;Американская кухня,Итальянская кухня,Бургеры,Пицца,Паста,Стейки,Кальяны,Европейская кухня,Бары,Спортбары,Винотеки,Коктейльная карта;Москва, Б.Ордынка, 20/4, стр. 7
/msk/restaurant/259660/;Столичный паб;Бары;До 700 рублей;Сэндвичи,Бары;Москва, Б.Черкизовская, 30б
/msk/restaurant/259661/;Порто Миконос;Греческая кухня;700–1500 рублей;Греческая кухня,Кафе,Ресторанная программа Visa Premium;Москва, Сущевская, 27, стр. 1, БЦ «Атмосфера»
/msk/restaurant/259665/;Каррифан;Кафе;До 700 рублей;Европейская кухня,Кафе;Москва, Варшавское ш., 9, стр. 1б, БК «Даниловская мануфактура»
/msk/restaurant/259666/;Peat Me;Кафе;До 700 рублей;Кафе,Фастфуд,Стритфуд;Москва, Ниж.Сусальный пер., 5, стр. 1, на территории завода «Арма»
/msk/restaurant/259667/;Mario;Итальянская кухня;700–1500 рублей;Итальянская кухня,Пицца,Паста;Москва, 24-й км Ленинградского ш., ТЦ «Мега Химки», 2 этаж
/msk/restaurant/259670/;Pasta Deli;Паста;До 700 рублей;Итальянская кухня,Паста,Европейская кухня,Кафе;Москва, 22-й км Киевского ш., 6, стр. 1, ОП Comcity
/msk/restaurant/259671/;Саратов;Русская кухня;700–1500 рублей;Русская кухня,Пироги,Пельмени,Кулинарии,Пивные рестораны,Ресторанная программа Visa Premium,Где есть горячие супы;Москва, Ильинка, 4, Гостиный Двор
/msk/restaurant/259672/;Bella pasta;Итальянская кухня;700–1500 рублей;Итальянская кухня,Бургеры,Пицца,Паста,Стейки,Вегетарианское меню,Европейская кухня,Коктейльная карта;Москва, Красная Пресня, 6/2, стр. 1
/msk/restaurant/259698/;Nook Coffee & Art;Кофейни;До 700 рублей;Сэндвичи,Кофейни,Кондитерские;Москва, Ленинградский просп., 15, стр. 11, в здании Музея русского импрессионизма, 3 этаж
/msk/restaurant/259700/;Бергштайн;Пивные рестораны;1500–2500 рублей;Итальянская кухня,Немецкая кухня,Паста,Европейская кухня,Бары,Пивные рестораны;Москва, Б.Пироговcкая, 37
/msk/restaurant/259701/;Асса;Чеченская кухня;До 700 рублей;Узбекская кухня,Кальяны,Халяльные рестораны,Европейская кухня;Москва, Садовническая, 76/71
/msk/restaurant/259703/;Кофемаус;Кофейни;До 700 рублей;Кофейни;Москва, Садовая-Каретная, 4–6, стр. 1
/msk/restaurant/259704/;Piu del cibo;Кафе;700–1500 рублей;Итальянская кухня,Паназиатская кухня,Японская кухня,Пицца,Паста,Суши,Вок,Кафе;Москва, Полевая, 29
/msk/restaurant/259705/;Piu del cibo;Кафе;700–1500 рублей;Итальянская кухня,Паназиатская кухня,Японская кухня,Пицца,Паста,Суши,Вок,Кафе;Москва, Калинина, 2
/msk/restaurant/259706/;Piu del cibo;Кафе;700–1500 рублей;Итальянская кухня,Паназиатская кухня,Японская кухня,Пицца,Паста,Суши,Вок,Кафе;Москва, Полиграфистов, 1
/msk/restaurant/259717/;Посторонним В.;Бары;До 700 рублей;Европейская кухня,Бары;Москва, Ленинская Слобода, 26, стр. 2, около ТЦ «Оранж-парк»
/msk/restaurant/259724/;Sito;Греческая кухня;До 700 рублей;Греческая кухня,Вегетарианское меню,Кафе;Москва, Ст.Басманная, 15, в cаду им. Баумана
/msk/restaurant/259725/;Point Coffee & Food;Кафе;До 700 рублей;Бургеры,Европейская кухня,Кафе,Стритфуд;Москва, Садовническая наб., 75, БЦ «Аврора», 1 этаж
/msk/restaurant/259727/;Prime;Кафе;До 700 рублей;Японская кухня,Суши,Сэндвичи,Вегетарианское меню,Европейская кухня,Кафе,Фастфуд;Москва, Остоженка, 40/1
/msk/restaurant/259728/;Incubator;Бары;До 700 рублей;Американская кухня,Японская кухня,Бургеры,Паста,Суши,Кальяны,Вок,Европейская кухня,Бары,Коктейльная карта;Москва, Русаковская, 1
/msk/restaurant/259729/;Шашлык на Пятницкой;Кафе;До 700 рублей;Армянская кухня,Европейская кухня,Кафе;Москва, 18-й км Пятницкого ш., стр. 2
/msk/restaurant/259730/;Straf Bar;Бары;До 700 рублей;Европейская кухня,Бары;Москва, Земляной Вал, 25
/msk/restaurant/259731/;Пицца-пи;Пицца;700–1500 рублей;Итальянская кухня,Пицца,Паста,Европейская кухня,Кафе;Москва, Измайловское ш., 69г, ТЦ «Альбатрос»
/msk/restaurant/259732/;Кофе & Moloko;Кофейни;До 700 рублей;Кофейни,Кондитерские;Москва, Кутузовский просп., 9, корп. 1, вход с левого торца здания
/msk/restaurant/259733/;Делимарше;Кафе;1500–2500 рублей;Европейская кухня,Кафе,Кофейни,Кондитерские;Москва, Гашека, 7, БЦ «Дукат-плейс II»
/msk/restaurant/259734/;Делимарше;Кафе;1500–2500 рублей;Европейская кухня,Кафе,Кофейни,Кондитерские;Москва, Сергея Макеева, 13, БЦ «Марр-плаза»
/msk/restaurant/259737/;О.К.;Кафе;До 700 рублей;Русская кухня,Пельмени,Европейская кухня,Кафе,Кондитерские,Бары,Спортбары,Ресторанная программа Visa Premium;Москва, Лесная, 20, стр. 1
/msk/restaurant/259738/;Табу;Пекарни;До 700 рублей;Осетинская кухня,Пицца,Европейская кухня,Кафе,Пекарни;Москва, Генерала Кузнецова, 16, корп. 1
/msk/restaurant/259740/;Южное;Грузинская кухня;700–1500 рублей;Грузинская кухня,Хинкали,Хачапури,Кальяны,Кафе,Караоке,Концерты;Москва, Профсоюзная, 142, корп. 1
/msk/restaurant/259742/;Double B;Кофейни;До 700 рублей;Кофейни;Москва, Крымский Вал, 9, стр. 18, в парке Горького
/msk/restaurant/259745/;Японика;Японская кухня;700–1500 рублей;Японская кухня,Суши,Вок;Королев, Декабристов, 8
/msk/restaurant/259746/;Японика;Японская кухня;700–1500 рублей;Японская кухня,Суши,Вок;Мытищи, Угольная, 6
/msk/restaurant/259749/;Другой бар;Бары;До 700 рублей;Американская кухня,Итальянская кухня,Бургеры,Пицца,Паста,Европейская кухня,Бары;Москва, Азовская, 18
/msk/restaurant/259752/;Караоке 77;Караоке;700–1500 рублей;Бары,Караоке;Москва, Народного Ополчения, 22, корп. 1
/msk/restaurant/259753/;Соло;Караоке;700–1500 рублей;Паста,Сэндвичи,Кальяны,Европейская кухня,Караоке,Коктейльная карта;Москва, Сущевская, 27, стр. 2
/msk/restaurant/259754/;Соло;Караоке;700–1500 рублей;Паста,Сэндвичи,Кальяны,Европейская кухня,Бары,Караоке,Коктейльная карта;Москва, Можайское ш., 112а
/msk/restaurant/259755/;Соло;Караоке;700–1500 рублей;Паста,Сэндвичи,Кальяны,Европейская кухня,Бары,Караоке,Коктейльная карта;Москва, Варварка, 3
/msk/restaurant/259756/;Kuksu;Корейская кухня;До 700 рублей;Корейская кухня,Кафе;Москва, Садовая-Каретная, 4–6
/msk/restaurant/259757/;Винный базар;Винотеки;700–1500 рублей;Европейская кухня,Бары,Винотеки,Где пить российские вина;Москва, Никитский б-р, 12
/msk/restaurant/259758/;Zotman Pizza Pie;Пицца;700–1500 рублей;Итальянская кухня,Пицца,Паста,Европейская кухня,Кафе;Москва, Рублевское ш., 42, корп. 1
/msk/restaurant/259759/;Food & Food;Фастфуд;До 700 рублей;Итальянская кухня,Японская кухня,Пицца,Суши,Вок,Европейская кухня,Фастфуд;Москва, Волочаевская, 12а
/msk/restaurant/259761/;Цукини;Кафе;700–1500 рублей;Итальянская кухня,Пицца,Паста,Кафе;Москва, Б.Серпуховская, 23
/msk/restaurant/259762/;Цукини;Кафе;700–1500 рублей;Итальянская кухня,Пицца,Паста,Кафе;Москва, Привольная, 63
/msk/restaurant/259763/;Жили-были;Кафе;700–1500 рублей;Русская кухня,Пицца,Кальяны,Европейская кухня,Кафе;Москва, Свободы, 12/8
/msk/restaurant/259764/;Татарская чайная;Татарская кухня;700–1500 рублей;Татарская кухня,Халяльные рестораны,Чайные,Кафе;Москва, Южнопортовая, 18
/msk/restaurant/259766/;Гранат;Азербайджанская кухня;700–1500 рублей;Азербайджанская кухня,Русская кухня,Бары;Москва, Лобачевского, 130а
/msk/restaurant/259769/;Quadrum;Итальянская кухня;Больше 2500 рублей;Итальянская кухня,Паста;Москва, Охотный Ряд, 2, гостиница «Four Seasons Moscow», 2 этаж
/msk/restaurant/259772/;Шикари;Паназиатская кухня;700–1500 рублей;Паназиатская кухня,Японская кухня,Суши,Вок;Москва, Бутырская, 76, БЦ «Дмитровский»
/msk/restaurant/259773/;О.К.;Кафе;До 700 рублей;Русская кухня,Пельмени,Европейская кухня,Кафе,Бары,Спортбары;Москва, Хорошевское ш., 82
/msk/restaurant/259774/;Красный дракон;0;0;Чайные;Москва, В.Радищевская, 5, офис 7
/msk/restaurant/259777/;Art Svago;Кальяны;До 700 рублей;Американская кухня,Кальяны,Кафе,Бары;Москва, 7-я Парковая, 15, стр. 2
/msk/restaurant/259781/;Халиф;Кафе;700–1500 рублей;Азербайджанская кухня,Паста,Кальяны,Европейская кухня,Кафе;Ногинск, Юбилейная, 6
/msk/restaurant/259783/;Халиф;Кафе;700–1500 рублей;Азербайджанская кухня,Паста,Кальяны,Европейская кухня,Кафе;Раменское, Михалевича, 72
