ID;ActivityIndex;AverageFriendsAge;FriendsAverageHasHighSchools;FriendsAverageHasJobs;LifeTime;MobileUsageAll;MobileUsageAndroid;MobileUsageIPad;MobileUsageIphone;MobileUsageWinPhone;NumberOfChildren;NumberOfCompanies;NumberOfFollowers;NumberOfFriends;NumberOfHighSchools;NumberOfRelatives;Relation;UseScreenName;INTEREST_acquaint_communic;INTEREST_acquaintances;INTEREST_active_rest;INTEREST_ad;INTEREST_animals;INTEREST_anime_hentai;INTEREST_architecture;INTEREST_art_design;INTEREST_beautiful_girls;INTEREST_beauty;INTEREST_books;INTEREST_business;INTEREST_cars;INTEREST_cartoons;INTEREST_caucasian;INTEREST_celebrities;INTEREST_children;INTEREST_cognitive;INTEREST_companies;INTEREST_computers;INTEREST_cookery;INTEREST_design;INTEREST_design_renovation;INTEREST_diets;INTEREST_do_yourself;INTEREST_electronics_electrappliances;INTEREST_entertainment;INTEREST_family_home;INTEREST_fashion;INTEREST_finance;INTEREST_fitness;INTEREST_football;INTEREST_foreign_lang;INTEREST_gadgets;INTEREST_games;INTEREST_geopolitics_economy;INTEREST_goods_services;INTEREST_hobbies;INTEREST_horoscope;INTEREST_horror;INTEREST_humour;INTEREST_images;INTEREST_insurance;INTEREST_interior;INTEREST_kazakhstan;INTEREST_landscape_design;INTEREST_literature_poetry;INTEREST_mass_media;INTEREST_mass_media_ad_PR;INTEREST_men_communities;INTEREST_mobile_internet;INTEREST_motivation;INTEREST_moto;INTEREST_movies;INTEREST_music;INTEREST_names;INTEREST_nature;INTEREST_nature_and_travel;INTEREST_nostalgia;INTEREST_other_services;INTEREST_parents_communities;INTEREST_philosophy_esoterics;INTEREST_photo;INTEREST_poetry;INTEREST_politics;INTEREST_professions;INTEREST_proposed_news;INTEREST_real_estate;INTEREST_regional_communities;INTEREST_relations;INTEREST_religion;INTEREST_rest;INTEREST_russia;INTEREST_science;INTEREST_science_education;INTEREST_shops;INTEREST_slimming;INTEREST_society;INTEREST_soft;INTEREST_softporno_porno;INTEREST_sport_and_health;INTEREST_sport_diet;INTEREST_sport_other;INTEREST_start_ups;INTEREST_tech_IT;INTEREST_technologies;INTEREST_thoughts_ideas;INTEREST_tourism;INTEREST_travel;INTEREST_TV;INTEREST_ukraine;INTEREST_video;INTEREST_way_of_life;INTEREST_wedding_communities;INTEREST_women_communities;INTEREST_workout;INTEREST_youth_communities
1002621;3.7;34;0.59042;0.327;3200;0.4214;0.00313;0;0.98746;0;0;1;144;1088;0;3;0;1;0.00490196078431;0.00490196078431;0.00490196078431;0.0245098039216;0.00490196078431;0;0.00490196078431;0.0343137254902;0;0;0.00490196078431;0;0.00490196078431;0.00980392156863;0;0.0196078431373;0;0.0196078431373;0;0;0;0.00980392156863;0;0;0.00490196078431;0;0.137254901961;0;0.00490196078431;0;0;0;0.00490196078431;0;0.00490196078431;0;0.0490196078431;0.0294117647059;0;0;0.0245098039216;0.0147058823529;0;0;0;0.00490196078431;0.00490196078431;0.0392156862745;0.0833333333333;0.00490196078431;0;0;0;0.0392156862745;0.0686274509804;0;0.00490196078431;0.00980392156863;0;0.0294117647059;0;0.00980392156863;0;0;0;0;0;0;0.0294117647059;0;0.0196078431373;0.0392156862745;0.00980392156863;0;0.0392156862745;0.0196078431373;0;0.0196078431373;0.00490196078431;0;0.00980392156863;0;0.00980392156863;0;0.00490196078431;0.0147058823529;0;0;0;0.00980392156863;0;0.00490196078431;0.00980392156863;0;0;0;0.0294117647059
53878;3.22;31;0.6041;0.22184;3366;0.64929;0;0.10584;0.69708;0;0;0;50;260;1;0;0;1;0.0140845070423;0;0;0.0140845070423;0;0;0;0.140845070423;0;0;0.00704225352113;0;0.00704225352113;0;0;0.0140845070423;0;0.0211267605634;0;0;0;0.0704225352113;0;0;0;0;0.105633802817;0;0;0;0;0;0;0.00704225352113;0;0;0.0422535211268;0.0140845070423;0;0;0.0281690140845;0.0281690140845;0;0.00704225352113;0;0;0.00704225352113;0.00704225352113;0.0352112676056;0.00704225352113;0;0;0;0.0140845070423;0.0704225352113;0;0;0.0211267605634;0;0.0211267605634;0;0;0.0352112676056;0;0;0.00704225352113;0.0140845070423;0;0.0492957746479;0;0;0.0140845070423;0.0211267605634;0;0.0211267605634;0.0140845070423;0;0.00704225352113;0.0281690140845;0;0;0;0;0;0.0352112676056;0;0;0.00704225352113;0.0211267605634;0;0;0.0211267605634;0;0;0;0;0
213777666;3.3;24;0.66506;0.14217;1055;0.76171;0.49733;0.01872;0;0;0;0;67;370;1;6;0;0;0.0382978723404;0;0;0.00425531914894;0.00425531914894;0;0;0.0468085106383;0.0170212765957;0.00851063829787;0.00425531914894;0.00425531914894;0.00425531914894;0;0;0.00425531914894;0;0.0170212765957;0;0;0.00425531914894;0.0212765957447;0;0.0127659574468;0.00851063829787;0;0.0382978723404;0;0.0127659574468;0;0.00425531914894;0;0.00425531914894;0;0;0;0.0510638297872;0.00425531914894;0;0;0.0595744680851;0.0127659574468;0;0.00425531914894;0;0.00425531914894;0.00851063829787;0.00425531914894;0.0127659574468;0.0468085106383;0;0.00425531914894;0;0.0127659574468;0.0170212765957;0;0;0.00851063829787;0;0.00425531914894;0;0.0170212765957;0.00425531914894;0.00425531914894;0;0.0127659574468;0.0382978723404;0;0.102127659574;0;0;0.0127659574468;0.0468085106383;0;0.0212765957447;0.0468085106383;0.00425531914894;0.0127659574468;0;0.00851063829787;0.0170212765957;0.00425531914894;0.00425531914894;0;0;0;0.0127659574468;0;0.00425531914894;0;0;0.00851063829787;0.0170212765957;0;0.0382978723404;0;0.0468085106383
1419743;2.1;33;0.48966;0.26207;3174;0.91867;0;0.00656;0.87541;0;0;1;83;253;0;0;0;1;0;0;0.00294117647059;0.00882352941176;0;0;0;0.05;0.00294117647059;0.00294117647059;0;0.0205882352941;0.0205882352941;0.00588235294118;0;0.00588235294118;0;0.0117647058824;0.00294117647059;0.00294117647059;0;0.0147058823529;0;0;0.00294117647059;0.00294117647059;0.1;0;0.0117647058824;0.0147058823529;0;0;0.00588235294118;0.00588235294118;0;0;0.0764705882353;0.00882352941176;0;0.00294117647059;0.00882352941176;0.00882352941176;0;0;0;0;0.00294117647059;0.00588235294118;0.0205882352941;0.0352941176471;0.00294117647059;0.00588235294118;0;0.0352941176471;0.0294117647059;0;0;0.0205882352941;0;0.0294117647059;0;0.00294117647059;0.0264705882353;0.00294117647059;0.00294117647059;0.0176470588235;0;0.00588235294118;0.0911764705882;0;0;0.0147058823529;0.0411764705882;0;0.0235294117647;0.0294117647059;0;0.0205882352941;0.00588235294118;0.00882352941176;0.00294117647059;0;0.00294117647059;0;0.0205882352941;0.00588235294118;0.00294117647059;0.00882352941176;0.0205882352941;0.0205882352941;0.00294117647059;0.00588235294118;0.00294117647059;0;0.00588235294118;0;0.0117647058824
923452;1.48;31;0.48214;0.19643;3211;0.26389;0.26316;0;0.68421;0;0;2;9;54;0;0;0;1;0.0612244897959;0.0204081632653;0;0;0;0;0;0;0;0;0;0;0;0.0204081632653;0;0;0;0.0612244897959;0;0;0;0;0;0;0;0;0.183673469388;0;0.0204081632653;0;0;0;0;0;0;0;0.0816326530612;0;0;0;0.0612244897959;0;0;0;0;0;0;0.0204081632653;0.0204081632653;0.0204081632653;0;0;0;0.0204081632653;0.102040816327;0;0;0;0;0.0408163265306;0;0;0;0;0;0;0.0408163265306;0;0;0;0;0;0;0;0.0816326530612;0.0408163265306;0;0;0;0.0204081632653;0;0;0;0;0;0.0204081632653;0;0;0;0;0;0.0408163265306;0;0;0;0;0.0204081632653
130578;1.87;29;0.59142;0.17833;3336;0.97867;0;0.20436;0.78202;0;0;0;81;372;1;2;0;1;0;0;0;0.0182926829268;0;0.00609756097561;0;0.0548780487805;0;0;0;0;0.00609756097561;0;0.0182926829268;0.0182926829268;0.00609756097561;0.0121951219512;0.00609756097561;0;0;0;0;0;0.00609756097561;0;0.176829268293;0.0243902439024;0;0;0.00609756097561;0.00609756097561;0;0;0.0121951219512;0;0.0487804878049;0;0;0;0.0182926829268;0.0182926829268;0;0;0;0;0;0;0.0365853658537;0.00609756097561;0;0;0;0.0243902439024;0.0914634146341;0;0;0.0121951219512;0.00609756097561;0.00609756097561;0.0121951219512;0;0.0365853658537;0;0;0;0;0;0.103658536585;0;0;0.00609756097561;0.0182926829268;0.00609756097561;0.0243902439024;0.0243902439024;0;0;0;0;0.0182926829268;0;0.00609756097561;0;0;0.00609756097561;0;0.0121951219512;0.0121951219512;0.0243902439024;0;0.0121951219512;0;0.00609756097561;0;0;0.0243902439024
9092993;1.18;31;0.35736;0.29429;2972;0.51695;1;0;0;0;0;1;96;135;0;1;0;1;0.00568181818182;0;0;0;0;0;0;0.0227272727273;0;0;0;0;0;0.0227272727273;0;0;0;0.0227272727273;0;0;0.0113636363636;0.00568181818182;0;0;0;0;0.221590909091;0;0;0;0.0113636363636;0;0;0;0.0795454545455;0;0.0227272727273;0.00568181818182;0.00568181818182;0.00568181818182;0.0795454545455;0.0113636363636;0;0;0;0;0;0;0;0.0170454545455;0;0;0;0.0340909090909;0.0568181818182;0;0;0.00568181818182;0.00568181818182;0;0;0.0227272727273;0.00568181818182;0;0;0.0113636363636;0.00568181818182;0;0.0170454545455;0;0;0.00568181818182;0.00568181818182;0.00568181818182;0.0397727272727;0.0227272727273;0.0113636363636;0.0113636363636;0.00568181818182;0.00568181818182;0.0568181818182;0.0113636363636;0.0113636363636;0;0.00568181818182;0.0113636363636;0;0;0.00568181818182;0.0113636363636;0;0.00568181818182;0.0170454545455;0;0.0113636363636;0.0113636363636;0.0113636363636
163336283;1.15;33;0.41071;0.21429;1537;0.61667;0.02703;0;0;0.64865;0;0;12;52;0;1;0;0;0;0;0;0.0172413793103;0;0;0;0.0344827586207;0;0.0172413793103;0;0;0;0;0;0;0;0;0.0172413793103;0;0.0689655172414;0;0;0;0;0;0.137931034483;0.0172413793103;0.0344827586207;0;0;0;0;0;0.0689655172414;0;0.051724137931;0;0;0;0.0344827586207;0.0172413793103;0;0.0172413793103;0;0;0;0;0.0172413793103;0.0689655172414;0;0;0;0.0172413793103;0.051724137931;0;0;0;0;0;0;0.0172413793103;0;0;0;0;0;0;0.0689655172414;0.0172413793103;0;0;0.0172413793103;0;0;0.0344827586207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0172413793103;0;0.0172413793103;0;0.0862068965517;0;0.0344827586207
77432517;2.67;27;0.68012;0.1677;2211;0.63043;0;0;0.95259;0;0;0;60;291;1;0;0;0;0.0103896103896;0;0.0025974025974;0.0025974025974;0.00519480519481;0;0;0.0285714285714;0.00519480519481;0.0025974025974;0.0025974025974;0;0;0;0;0.0025974025974;0;0.0207792207792;0.00519480519481;0;0;0.0025974025974;0.0025974025974;0;0;0;0.132467532468;0.00779220779221;0.00779220779221;0;0;0.0181818181818;0.0025974025974;0;0.00779220779221;0;0.0831168831169;0.0155844155844;0;0.00519480519481;0.0467532467532;0.0181818181818;0;0;0;0;0.0025974025974;0.0025974025974;0.00779220779221;0.0233766233766;0;0;0;0.0467532467532;0.0545454545455;0;0;0.00519480519481;0.0025974025974;0.0207792207792;0;0.00779220779221;0.00779220779221;0;0;0;0.0103896103896;0.00519480519481;0.103896103896;0.0025974025974;0;0.0181818181818;0.038961038961;0.0025974025974;0.025974025974;0.0519480519481;0;0;0;0.0181818181818;0.0285714285714;0;0.00779220779221;0;0;0;0;0;0;0.0103896103896;0.00519480519481;0.00519480519481;0.00779220779221;0.0025974025974;0.0025974025974;0.0025974025974;0.0285714285714
3854927;1.72;31;0.55106;0.29362;3080;0.69039;0.98969;0;0;0;0;1;256;287;0;6;0;0;0.047619047619;0;0.015873015873;0;0.047619047619;0;0;0;0;0;0;0.031746031746;0;0;0;0.015873015873;0;0.031746031746;0;0;0;0;0;0;0.015873015873;0;0.047619047619;0.015873015873;0;0;0;0;0;0;0;0;0.047619047619;0.015873015873;0;0;0.015873015873;0;0;0;0;0;0;0.015873015873;0.031746031746;0;0;0.031746031746;0;0.015873015873;0.015873015873;0;0;0.047619047619;0;0.015873015873;0.015873015873;0;0;0;0;0;0.047619047619;0;0.15873015873;0;0;0.047619047619;0.0793650793651;0;0.031746031746;0.031746031746;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015873015873;0;0;0;0;0;0;0.047619047619
