ID_Rest;ID_Afisha_user
http://www.afisha.ru/msk/restaurant/47865/;www.afisha.ru/personalpage/2886990
http://www.afisha.ru/msk/restaurant/47865/;www.afisha.ru/personalpage/2874476
http://www.afisha.ru/msk/restaurant/47865/;www.afisha.ru/personalpage/2769169
http://www.afisha.ru/msk/restaurant/47865/;www.afisha.ru/personalpage/2838239
http://www.afisha.ru/msk/restaurant/40916/;www.afisha.ru/personalpage/2434039
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/3008161
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2991355
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2759346
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2826093
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/1672094
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2741135
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2644819
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/1249449
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2631288
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2584208
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2543297
http://www.afisha.ru/msk/restaurant/39327/;www.afisha.ru/personalpage/2367239
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2852767
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2911350
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/1785996
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2904810
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2907584
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2902005
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2541777
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2839169
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/3009372
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/3007262
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2888682
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/1114294
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2810628
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/3037518
http://www.afisha.ru/msk/restaurant/61187/;www.afisha.ru/personalpage/2861759
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2885192
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2961479
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2921093
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/3020885
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2995111
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2991347
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2974458
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2956085
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2942822
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/1934181
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2927222
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2899544
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2892079
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2779596
http://www.afisha.ru/msk/restaurant/44778/;www.afisha.ru/personalpage/2760626
http://www.afisha.ru/msk/restaurant/42305/;www.afisha.ru/personalpage/417169
http://www.afisha.ru/msk/restaurant/140644/;www.afisha.ru/personalpage/1903626
http://www.afisha.ru/msk/restaurant/140644/;www.afisha.ru/personalpage/80519
http://www.afisha.ru/msk/restaurant/140644/;www.afisha.ru/personalpage/2833666
http://www.afisha.ru/msk/restaurant/44672/;nan
http://www.afisha.ru/msk/restaurant/47322/;www.afisha.ru/personalpage/2973769
http://www.afisha.ru/msk/restaurant/47322/;www.afisha.ru/personalpage/2874125
http://www.afisha.ru/msk/restaurant/47322/;www.afisha.ru/personalpage/2326463
http://www.afisha.ru/msk/restaurant/47322/;www.afisha.ru/personalpage/1812005
http://www.afisha.ru/msk/restaurant/47322/;www.afisha.ru/personalpage/2757912
http://www.afisha.ru/msk/restaurant/36026/;www.afisha.ru/personalpage/2623599
http://www.afisha.ru/msk/restaurant/36026/;www.afisha.ru/personalpage/2893204
