ID_Afisha_user;ID_SN
www.afisha.ru/personalpage/2837607;http://facebook.com/992305784181377
www.afisha.ru/personalpage/2827551;http://facebook.com/10154171747723185
www.afisha.ru/personalpage/2147534;http://facebook.com/100000998241303
www.afisha.ru/personalpage/2488419;http://facebook.com/825208140861114
www.afisha.ru/personalpage/2667330;http://facebook.com/859167464181085
www.afisha.ru/personalpage/2949518;http://facebook.com/1146744195406144
www.afisha.ru/personalpage/2675322;http://facebook.com/1109118199100545
www.afisha.ru/personalpage/1012530;http://facebook.com/1136546157
www.afisha.ru/personalpage/2900622;http://facebook.com/623876214445662
www.afisha.ru/personalpage/3032314;http://facebook.com/1412843705400059
www.afisha.ru/personalpage/2876385;http://facebook.com/107566369675783
www.afisha.ru/personalpage/2778555;http://facebook.com/1793244494228216
www.afisha.ru/personalpage/2950447;http://facebook.com/1082740565124432
www.afisha.ru/personalpage/2987059;http://facebook.com/1679237652405434
www.afisha.ru/personalpage/2941789;http://facebook.com/667283936762084
www.afisha.ru/personalpage/2892049;http://facebook.com/1076291845793126
www.afisha.ru/personalpage/2673165;http://facebook.com/675614942580928
www.afisha.ru/personalpage/2962727;http://facebook.com/1306104109429632
www.afisha.ru/personalpage/1118908;http://facebook.com/100001781266123
www.afisha.ru/personalpage/2866963;http://facebook.com/1101142999951627
www.afisha.ru/personalpage/759048;http://facebook.com/100000553755671
www.afisha.ru/personalpage/1181278;http://facebook.com/100000502142341
www.afisha.ru/personalpage/649864;http://facebook.com/100000933363984
www.afisha.ru/personalpage/1258491;http://facebook.com/100001791872125
www.afisha.ru/personalpage/1366726;http://facebook.com/100001037468933
www.afisha.ru/personalpage/2986994;http://facebook.com/603371839841464
www.afisha.ru/personalpage/2633464;http://facebook.com/940269939380356
www.afisha.ru/personalpage/659166;http://facebook.com/1693200851
www.afisha.ru/personalpage/1623490;http://facebook.com/100000738305514
www.afisha.ru/personalpage/729062;http://facebook.com/1745993860
www.afisha.ru/personalpage/2811087;http://facebook.com/550789561748233
www.afisha.ru/personalpage/2529295;http://facebook.com/840970382639406
www.afisha.ru/personalpage/2529754;http://facebook.com/1605186323068678
www.afisha.ru/personalpage/2434472;http://facebook.com/715139481968206
www.afisha.ru/personalpage/194346;http://facebook.com/10208568734440035
www.afisha.ru/personalpage/2730086;http://facebook.com/1151049948238594
www.afisha.ru/personalpage/3025726;http://facebook.com/113756909104321
www.afisha.ru/personalpage/949766;http://facebook.com/791155416
www.afisha.ru/personalpage/2058641;http://facebook.com/100000062550085
www.afisha.ru/personalpage/633178;http://facebook.com/10207074601999038
www.afisha.ru/personalpage/2517024;http://facebook.com/10206246226567400
www.afisha.ru/personalpage/1071321;http://facebook.com/1104417506249915
www.afisha.ru/personalpage/2807010;http://facebook.com/1256316387761539
www.afisha.ru/personalpage/2530468;http://facebook.com/10206358354095445
www.afisha.ru/personalpage/878027;http://facebook.com/10153352428164503
www.afisha.ru/personalpage/1439183;http://facebook.com/588536554
www.afisha.ru/personalpage/1364980;http://facebook.com/100001323225626
www.afisha.ru/personalpage/14805;http://facebook.com/1419264952
www.afisha.ru/personalpage/1501158;http://facebook.com/100000006327734
www.afisha.ru/personalpage/2932090;http://facebook.com/1734715390126980
www.afisha.ru/personalpage/2565722;http://facebook.com/881560285225366
www.afisha.ru/personalpage/492237;http://facebook.com/904540153
www.afisha.ru/personalpage/1026365;http://facebook.com/100001294676124
www.afisha.ru/personalpage/1104293;http://facebook.com/10152927219425678
www.afisha.ru/personalpage/1703667;http://facebook.com/1190625968
www.afisha.ru/personalpage/2572510;http://facebook.com/971032672960544
www.afisha.ru/personalpage/2562077;http://facebook.com/438016313058661
www.afisha.ru/personalpage/877558;http://facebook.com/544630546
www.afisha.ru/personalpage/2968040;http://facebook.com/10209656584922149
www.afisha.ru/personalpage/1720350;http://facebook.com/883832725003151
www.afisha.ru/personalpage/2926474;http://facebook.com/1750400678560283
www.afisha.ru/personalpage/418400;http://facebook.com/1379635339
www.afisha.ru/personalpage/1291637;http://facebook.com/100003174569112
www.afisha.ru/personalpage/908875;http://facebook.com/922994887827439
www.afisha.ru/personalpage/1403619;http://facebook.com/100000174092901
www.afisha.ru/personalpage/2522831;http://facebook.com/358505837836109
